,Extraverted,Intuitive,Thinking,Judging,Assertive,Age,Math,English,Science,Art,History,SAT,SAT Math,SAT Reading,ACT,ACT English,ACT Math,ACT Reading,ACT Science,0,1,2,3,4,5,6,7,8
45,16,76,47,44,36,23,2,1,4,,3,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,1,0,0,0,0,0,1,0
46,41,56,37,60,32,24,5,3,4,1,1,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,1,0,0,0,0,0,1,0
47,24,72,65,69,60,15,1,1,1,1,5,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,1,0,0,0,0,0,0,1,0
48,2,19,71,40,75,15,4,2,2,1,,980,520,460,28.33333333,36,35,35,35,0,0,0,0,0,1,0,0,1
49,18,36,40,51,57,47,3,2,4,,1,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,1,0,0,0,0,0,1,0
50,64,33,68,25,86,17,3,1,3,,2,1300,590,710,28.33333333,36,35,35,35,0,1,0,0,0,0,0,0,1
51,10,86,37,78,31,14,5,4,1,1,1,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,0,0,0,0,1,0,0,1
52,64,34,48,25,46,14,,,1,,,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,0,0,0,0,1,0,0,1
53,35,56,36,49,42,16,1,3,4,1,,1250,550,700,28.33333333,36,35,35,35,0,1,0,0,0,0,0,0,1
54,13,6,69,78,54,15,3,4,1,,1,1070,440,630,28.33333333,36,35,35,35,0,0,0,0,0,1,0,0,1
55,24,68,61,39,26,18,1,5,1,1,1,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,1,0,0,0,0,0,1,0
56,68,30,25,43,17,16,2,2,2,1,5,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,1,0,0,0,0,0,0,1,0
57,54,33,72,64,56,44,1,1,1,1,1,1470,670,800,28.33333333,36,35,35,35,0,1,0,0,0,0,0,0,1
58,14,17,78,99,58,42,1,1,5,1,1,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,1,0,0,0,0,0,1,0
59,38,58,58,31,35,15,4,4,1,1,1,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,1,0,0,0,0,0,0,1,0
60,42,74,41,54,65,47,1,1,4,4,1,1460,740,720,28.33333333,36,35,35,35,0,1,0,0,0,0,0,1,0
61,75,38,29,61,76,73,4,1,1,4,1,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,1,0,0,0,0,0,1,0
62,29,61,75,76,89,73,1,1,1,,4,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,1,0,0,0,0,0,0,1
63,49,77,36,69,58,14,,1,1,1,1,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,0,0,0,1,0,0,0,1
64,81,55,41,32,18,14,3,3,1,1,3,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,1,0,0,0,0,0,0,1,0
65,43,37,34,36,49,15,1,5,1,1,1,1090,590,500,28.33333333,36,35,35,35,0,0,0,0,0,1,0,1,0
66,41,40,55,61,65,48,1,1,1,,,1218.571429,597.0588235,625.2941176,28.33333333,36,35,35,35,0,1,0,0,0,0,0,1,0
